time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1714758184241699000,0.250698974609375,45,0.1517592966556549,1.5409945249557495,3.9700000286102295,0.11257331818342209,246.70896911621094,129.39999389648438,-77.6691204,43.0843611
1714758185242786800,1.251786865234375,45,1.5,1.5188051462173462,4.9710001945495605,0,164.0877227783203,129.39999389648438,-77.6691208,43.0843637
1714758185478411000,1.487410888671875,45,0.4978874921798706,1.5188051462173462,5.008999824523926,0.8405802249908447,159.31768798828125,129.39999389648438,-77.6691203,43.084363
1714758185921735400,1.9307353515625,45,0.5106124877929688,1.5188051462173462,5.064000129699707,0.8465535640716553,159.7107391357422,129.39999389648438,-77.6691194,43.0843614
1714758186242208000,2.2512080078125,45,0.37570682168006897,1.5285462141036987,5.033999919891357,0.8359476923942566,152.55467224121094,129.39999389648438,-77.6691187,43.0843605
1714758187304487000,3.31348681640625,45,0.3558425307273865,1.5285462141036987,5.111999988555908,0.6125058531761169,116.397705078125,129.39999389648438,-77.669116,43.0843591
1714758187356864300,3.3658642578125,45,0.38529807329177856,1.53938889503479,5.163000106811523,0.5771728754043579,108.31834411621094,129.39999389648438,-77.6691169,43.0843609
1714758188018452700,4.02745263671875,45,0.33896276354789734,1.53938889503479,5.2729997634887695,0.7583546042442322,83.09749603271484,129.39999389648438,-77.6691112,43.0843611
1714758188356864300,4.3658642578125,45,0.31886032223701477,1.54884934425354,5.409999847412109,0.8510770797729492,90.40164184570312,129.39999389648438,-77.669109,43.0843615
1714758188471903000,4.480903076171875,45,0.25572866201400757,1.54884934425354,5.500999927520752,0.9967174530029297,89.86799621582031,129.39999389648438,-77.6691051,43.0843623
1714758189018161200,5.0271611328125,45,0.33765676617622375,1.54884934425354,5.6620001792907715,1.0449414253234863,89.56497955322266,129.39999389648438,-77.6690991,43.0843629
1714758189356864300,5.3658642578125,45,0.29105499386787415,1.5589700937271118,5.86299991607666,1.0908184051513672,84.71127319335938,129.39999389648438,-77.6690964,43.0843635
1714758189512760800,5.5217607421875,45,0.2399110049009323,1.5589700937271118,5.98199987411499,1.162341833114624,82.47821044921875,129.39999389648438,-77.6690902,43.0843638
1714758190238371600,6.24737158203125,45,0.3084326982498169,1.5589700937271118,6.165999889373779,1.1426427364349365,63.53859329223633,129.39999389648438,-77.6690801,43.0843661
1714758190356864300,6.3658642578125,45,0.2037779837846756,1.568894386291504,6.453999996185303,1.190958023071289,58.787742614746094,129.39999389648438,-77.6690789,43.0843663
1714758190573718800,6.58271875,45,0.2326013147830963,1.568894386291504,6.668000221252441,1.2544283866882324,58.700889587402344,129.39999389648438,-77.6690701,43.0843664
1714758191218128000,7.2271279296875,45,0.27793964743614197,1.568894386291504,6.940999984741211,1.2927402257919312,56.18001937866211,129.39999389648438,-77.6690589,43.084369
1714758191253847600,7.26284765625,45,0.2459569126367569,1.5789109468460083,7.14900016784668,1.3666547536849976,58.00276565551758,129.39999389648438,-77.6690543,43.0843663
1714758191752719000,7.761718994140625,45,0.23047912120819092,1.5789109468460083,7.215000152587891,1.4133365154266357,59.903934478759766,129.39999389648438,-77.6690432,43.084367
1714758192338705400,8.347705322265625,45,0.27622267603874207,1.526991605758667,7.534999847412109,1.427852749824524,57.548805236816406,129.39999389648438,-77.6690266,43.0843711
1714758192356864300,8.3658642578125,45,0.19943295419216156,1.527953028678894,7.556000232696533,1.440828561782837,56.6219367980957,129.39999389648438,-77.6690237,43.0843714
1714758192912639200,8.92163916015625,45,0.2182808369398117,1.527953028678894,7.548999786376953,1.41911780834198,56.734615325927734,129.39999389648438,-77.6690107,43.0843713
1714758193258323000,9.267322998046875,45,0.21254926919937134,1.5372958183288574,7.685999870300293,1.2638581991195679,56.3136100769043,129.39999389648438,-77.6690049,43.0843667
1714758193517100300,9.526100341796875,45,0.222733736038208,1.5372958183288574,7.761000156402588,1.2609034776687622,57.700225830078125,129.39999389648438,-77.6690016,43.0843646
1714758193913332700,9.922332763671875,45,0.222733736038208,1.5372958183288574,7.75,1.2572609186172485,58.3712158203125,129.39999389648438,-77.6689963,43.0843647
1714758194250919700,10.259919677734375,45,0.242996484041214,1.5403963327407837,7.752999782562256,1.2101088762283325,60.21966552734375,129.39999389648438,-77.6689929,43.0843622
1714758194637848300,10.646848388671875,45,0.19818541407585144,1.5403963327407837,7.758999824523926,1.2572541236877441,62.373294830322266,129.39999389648438,-77.6689878,43.0843615
1714758195132536300,11.141536376953125,45,0.2510015368461609,1.5403963327407837,7.77400016784668,1.2624751329421997,62.32302474975586,129.39999389648438,-77.6689808,43.0843624
1714758195356864300,11.3658642578125,45,0.2063673734664917,1.5509785413742065,7.703000068664551,1.3031165599822998,62.13633728027344,129.39999389648438,-77.6689783,43.0843622
1714758195638480400,11.64748046875,45,0.1914936602115631,1.5509785413742065,7.670000076293945,1.3039740324020386,63.85689163208008,129.39999389648438,-77.6689738,43.0843593
1714758196140193000,12.149193115234375,45,0.23205718398094177,1.5509785413742065,7.682000160217285,1.3023232221603394,64.39128112792969,129.39999389648438,-77.6689669,43.0843591
